Feature	Chi2 Score	P-Value
class_e	3916.0	0.0
odor_n	2836.187954176688	0.0
odor_f	2321.0623084780386	0.0
stalk-surface-above-ring_k	1986.4084940843877	0.0
stalk-surface-below-ring_k	1914.3713894833327	0.0
gill-color_b	1856.849846782431	0.0
gill-size_n	1636.6068327567395	0.0
spore-print-color_h	1560.1875607849838	0.0
ring-type_l	1392.6373850868235	8.362650110839778e-305
ring-type_p	1213.9952194289326	5.543220310818566e-266
bruises_t	1194.2773520082696	1.0690368001373902e-261
spore-print-color_n	1068.6403769713934	2.161769525358516e-234
spore-print-color_k	984.5386745522602	4.1212302771177994e-216
bruises_f	849.1744609056271	1.0991080602286046e-186
gill-spacing_w	826.7952744441203	8.061292797152528e-182
population_v	804.0969208707945	6.939362965769929e-177
spore-print-color_w	732.6210080763811	2.4114542354817904e-161
gill-size_b	732.5652822318123	2.4796832622082373e-161
habitat_p	729.776435513515	1.0018727839546124e-160
stalk-surface-above-ring_s	711.6166120484622	8.904815741829585e-157
odor_y	618.9499489274771	1.2651433802905412e-136
odor_s	618.9499489274771	1.2651433802905412e-136
gill-color_n	590.7610883616463	1.7114399383900277e-130
stalk-surface-below-ring_s	577.0364040572767	1.6547256133792757e-127
stalk-color-below-ring_g	536.0304182509506	1.377249089478916e-118
stalk-color-above-ring_g	536.0304182509506	1.377249089478916e-118
stalk-root_?	514.7591360180371	5.844835097804602e-114
stalk-color-below-ring_b	464.2124616956078	5.823657508635262e-103
stalk-color-above-ring_b	464.2124616956078	5.823657508635262e-103
stalk-color-above-ring_n	417.3080785579184	9.40544259641048e-93
odor_l	372.24334600760454	6.077879426556674e-83
odor_a	372.24334600760454	6.077879426556674e-83
population_n	372.24334600760454	6.077879426556674e-83
gill-color_w	370.37680174809344	1.5493616333286088e-82
stalk-root_c	361.4707891908373	1.3468698580567058e-80
population_a	357.3536121673004	1.0612876898242921e-79
stalk-color-above-ring_p	331.52754913732406	4.467735044503863e-74
stalk-color-below-ring_p	331.52754913732406	4.467735044503863e-74
stalk-color-below-ring_n	316.67469327357395	7.677798302556101e-71
ring-number_t	314.96211995634565	1.812539354511351e-70
gill-color_u	291.27685049206866	2.6202590049658147e-65
stalk-root_e	288.16979624809767	1.2455048660052374e-64
odor_p	275.08886618998974	8.827761664815205e-62
ring-type_e	266.63310021289607	6.147905172094927e-60
cap-shape_b	255.71233340852407	1.476231500475424e-57
cap-surface_f	221.636970453203	3.974884119190827e-50
odor_c	206.31664964249234	8.739802487167794e-47
cap-shape_k	195.19379628843166	2.337306155430052e-44
habitat_w	178.6768060836502	9.426120744644148e-41
stalk-color-below-ring_o	178.6768060836502	9.426120744644148e-41
stalk-root_r	178.6768060836502	9.426120744644148e-41
stalk-color-above-ring_o	178.6768060836502	9.426120744644148e-41
habitat_l	175.5284851432585	4.589866758506442e-40
population_s	175.0842372477781	5.73867269229807e-40
stalk-color-above-ring_w	173.52388080513802	1.2576527913511492e-39
gill-color_k	172.77915034786662	1.8289439371056766e-39
stalk-color-below-ring_w	171.45660610207153	3.556615643451093e-39
gill-color_h	167.86335109225416	2.1669496704368677e-38
habitat_g	162.70477634244625	2.9021325325735274e-37
gill-spacing_c	159.24183794343594	1.6569141234361496e-36
habitat_m	150.51023011976974	1.3410247472763956e-34
population_c	147.4764893449078	6.174039273447347e-34
stalk-surface-below-ring_f	140.76863191663722	1.80773547630293e-32
gill-attachment_a	132.1052672111074	1.4189210261752861e-30
cap-color_w	126.5989643287033	2.2737564384559335e-29
stalk-surface-above-ring_f	108.13584970274256	2.5097269938367154e-25
gill-color_g	106.66098983929075	5.282228246846316e-25
habitat_u	97.427089730767	5.587632218628543e-23
cap-color_y	90.06912160651473	2.2998318777963764e-21
stalk-color-above-ring_e	89.3384030418251	3.327369844708838e-21
gill-color_e	89.3384030418251	3.327369844708838e-21
stalk-color-below-ring_e	89.3384030418251	3.327369844708838e-21
veil-color_o	89.3384030418251	3.327369844708838e-21
veil-color_n	89.3384030418251	3.327369844708838e-21
habitat_d	79.15343789185573	5.746867025777187e-19
spore-print-color_r	77.36874361593463	1.418422279649234e-18
population_y	73.4862852644238	1.013378478616724e-17
cap-color_e	62.46975479751589	2.7056812608563136e-15
gill-color_o	59.55893536121674	1.1868603929588842e-14
stalk-surface-below-ring_y	52.2976508718104	4.769446614877489e-13
cap-surface_s	50.7331581155314	1.0581668859016033e-12
stalk-shape_e	47.95951027058169	4.351124448395087e-12
spore-print-color_u	44.66920152091255	2.332983715507594e-11
spore-print-color_o	44.66920152091255	2.332983715507594e-11
spore-print-color_y	44.66920152091255	2.332983715507594e-11
ring-type_f	44.66920152091255	2.332983715507594e-11
spore-print-color_b	44.66920152091255	2.332983715507594e-11
stalk-color-below-ring_c	38.68437180796732	4.981819497955883e-10
stalk-color-above-ring_c	38.68437180796732	4.981819497955883e-10
odor_m	38.68437180796732	4.981819497955883e-10
ring-type_n	38.68437180796732	4.981819497955883e-10
ring-number_n	38.68437180796732	4.981819497955883e-10
cap-surface_y	38.37443910508482	5.839222743615677e-10
stalk-shape_t	36.5941054929178	1.4547094153860045e-09
cap-color_b	36.29684759637337	1.6943770957913615e-09
cap-shape_s	29.77946768060837	4.840918440026773e-08
gill-color_r	25.789581205311542	3.8073819022644103e-07
stalk-color-below-ring_y	25.789581205311542	3.8073819022644103e-07
ring-number_o	21.09033906239872	4.381314602202456e-06
gill-color_y	17.626299427422328	2.68844703349013e-05
gill-color_p	16.832788542053706	4.082186396924486e-05
cap-color_r	14.889733840304185	0.00011398160122260849
cap-color_u	14.889733840304185	0.00011398160122260849
cap-color_g	13.561752362515788	0.00023084148000154605
cap-color_n	11.491947288822153	0.0006989836643742287
cap-color_p	9.609903020463966	0.001935308627429279
veil-color_y	8.59652706843718	0.003368046732090701
stalk-color-above-ring_y	8.59652706843718	0.003368046732090701
cap-color_c	7.720010295712206	0.005461208486933462
cap-shape_c	4.29826353421859	0.038151308149091775
cap-surface_g	4.29826353421859	0.038151308149091775
veil-color_w	3.9503683726158867	0.0468611085174417
gill-attachment_f	3.5054468175805478	0.061167343780334484
cap-shape_x	3.229664358114916	0.07231550862900454
stalk-surface-above-ring_y	2.125331583015182	0.14488142392425413
cap-shape_f	1.7064283490581982	0.19144943046524873
stalk-root_b	1.3639990091594867	0.24284561899567603
veil-type_p	0.0	1.0
